epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,786.388,0.60904,0.47399,0.94803,0.00998,0.91103,0.88778,0.93093,0.70845,0.59933,0.41431,0.96564,0.00442,0.000326046,0.000326046,0.000326046
38,806.837,0.59704,0.44934,0.94226,0.00929,0.90827,0.89787,0.94033,0.69625,0.59906,0.40927,0.95414,0.00531,0.000318769,0.000318769,0.000318769
39,828.108,0.58569,0.44735,0.93929,0.00882,0.92028,0.88633,0.93674,0.69237,0.60076,0.42271,0.95839,0.00416,0.000311493,0.000311493,0.000311493
40,849.315,0.59296,0.452,0.93547,0.00881,0.93074,0.87475,0.93448,0.68345,0.61707,0.42151,0.96584,0.00418,0.000304216,0.000304216,0.000304216
41,870.387,0.5883,0.4475,0.94376,0.00793,0.94041,0.87277,0.94055,0.69454,0.59828,0.41301,0.95888,0.00463,0.00029694,0.00029694,0.00029694
42,891.743,0.57958,0.44096,0.93223,0.00838,0.89974,0.88626,0.93607,0.68862,0.61165,0.41439,0.95986,0.00497,0.000289664,0.000289664,0.000289664
43,912.096,0.58055,0.44331,0.93963,0.0086,0.907,0.90558,0.94185,0.70077,0.60745,0.41647,0.9508,0.0051,0.000282387,0.000282387,0.000282387
44,933.211,0.59204,0.44747,0.92814,0.00938,0.90801,0.88882,0.9372,0.68798,0.60719,0.41349,0.95378,0.00504,0.000275111,0.000275111,0.000275111
45,954.728,0.57126,0.42341,0.924,0.00866,0.91308,0.8991,0.93992,0.702,0.60042,0.40401,0.94424,0.00466,0.000267834,0.000267834,0.000267834
46,975.034,0.57248,0.42691,0.92806,0.00838,0.94078,0.8677,0.93813,0.68406,0.62572,0.41992,0.94982,0.00545,0.000260557,0.000260557,0.000260557
47,996.293,0.5653,0.43589,0.91585,0.00799,0.92299,0.89504,0.94056,0.6909,0.63086,0.41068,0.95805,0.0051,0.000253281,0.000253281,0.000253281
48,1016.51,0.55553,0.40869,0.90892,0.0072,0.94114,0.88691,0.94484,0.71089,0.61752,0.39677,0.96354,0.00483,0.000246004,0.000246004,0.000246004
49,1037.53,0.5593,0.41212,0.91769,0.00777,0.91224,0.90552,0.94739,0.69331,0.61157,0.38561,0.94998,0.00465,0.000238728,0.000238728,0.000238728
50,1058.99,0.55246,0.41486,0.91787,0.00772,0.91141,0.91396,0.94629,0.70066,0.61006,0.39558,0.95033,0.00534,0.000231451,0.000231451,0.000231451
51,1079.31,0.54156,0.40174,0.91015,0.00722,0.92739,0.90846,0.94669,0.70698,0.60015,0.39424,0.94417,0.00547,0.000224175,0.000224175,0.000224175
52,1100.54,0.54948,0.41576,0.92113,0.00782,0.95927,0.86745,0.94528,0.70042,0.63353,0.4034,0.96257,0.00504,0.000216899,0.000216899,0.000216899
53,1121.18,0.55178,0.42018,0.91256,0.00834,0.92646,0.88522,0.94023,0.69705,0.61559,0.40036,0.95145,0.00476,0.000209622,0.000209622,0.000209622
54,1142.31,0.53436,0.38973,0.90599,0.00667,0.92623,0.89064,0.94532,0.69871,0.59913,0.39531,0.93701,0.00484,0.000202345,0.000202345,0.000202345
55,1163.78,0.54022,0.39879,0.8997,0.00808,0.9044,0.90809,0.94615,0.6982,0.61753,0.3959,0.94237,0.00521,0.000195069,0.000195069,0.000195069
56,1184.21,0.54476,0.39987,0.89583,0.00762,0.9421,0.89224,0.94961,0.70119,0.62457,0.39428,0.94105,0.00503,0.000187793,0.000187793,0.000187793
57,1205.65,0.53759,0.40419,0.90679,0.00836,0.93387,0.90712,0.94985,0.6996,0.61296,0.38711,0.93756,0.00486,0.000180516,0.000180516,0.000180516
58,1226,0.53549,0.38492,0.89253,0.00762,0.93665,0.88643,0.94458,0.69203,0.6074,0.38613,0.93977,0.00507,0.000173239,0.000173239,0.000173239
59,1247.91,0.5339,0.38545,0.8996,0.00742,0.91894,0.89434,0.94682,0.70537,0.60858,0.38846,0.9434,0.00529,0.000165963,0.000165963,0.000165963
60,1269.41,0.53369,0.40029,0.89984,0.00791,0.91419,0.92118,0.95209,0.7011,0.62145,0.39086,0.94412,0.00471,0.000158686,0.000158686,0.000158686
61,1290.07,0.53585,0.40427,0.90072,0.0079,0.91868,0.89835,0.94892,0.70987,0.60409,0.38129,0.93169,0.00459,0.00015141,0.00015141,0.00015141
62,1311.55,0.52907,0.39297,0.90121,0.0073,0.90134,0.91555,0.94658,0.69662,0.61821,0.39343,0.94047,0.00511,0.000144134,0.000144134,0.000144134
63,1332.99,0.51997,0.38343,0.89048,0.00733,0.91844,0.92524,0.95365,0.71195,0.58943,0.37657,0.92713,0.00469,0.000136857,0.000136857,0.000136857
64,1353.62,0.52319,0.3831,0.89789,0.00703,0.91775,0.91706,0.94927,0.70325,0.61267,0.38694,0.9368,0.00507,0.00012958,0.00012958,0.00012958
65,1375.15,0.5155,0.38192,0.89222,0.00771,0.92423,0.90902,0.95596,0.71119,0.59371,0.38016,0.92854,0.00411,0.000122304,0.000122304,0.000122304
66,1395.64,0.51239,0.37556,0.89802,0.00667,0.90706,0.92025,0.95687,0.7057,0.60029,0.37893,0.93051,0.00412,0.000115027,0.000115027,0.000115027
67,1417.15,0.5202,0.38614,0.88845,0.00742,0.91687,0.92091,0.95361,0.70158,0.60619,0.38163,0.93631,0.00449,0.000107751,0.000107751,0.000107751
68,1439.01,0.51826,0.36958,0.91675,0.00659,0.94724,0.90686,0.95688,0.69381,0.60317,0.3822,0.93194,0.00417,0.000100474,0.000100474,0.000100474
69,1459.92,0.50407,0.36372,0.8911,0.00691,0.94108,0.89972,0.95377,0.69483,0.60617,0.3875,0.93455,0.00431,9.3198e-05,9.3198e-05,9.3198e-05
70,1481.81,0.50362,0.37438,0.88407,0.00658,0.94625,0.90687,0.9558,0.69069,0.6106,0.37596,0.9347,0.00417,8.59215e-05,8.59215e-05,8.59215e-05
71,1504.67,0.47804,0.3343,0.88099,0.00588,0.92182,0.88991,0.95116,0.7013,0.60449,0.37925,0.93297,0.00435,7.8645e-05,7.8645e-05,7.8645e-05
72,1524.57,0.48029,0.33921,0.87818,0.00531,0.92,0.9065,0.95233,0.69312,0.60631,0.38222,0.93562,0.00468,7.13685e-05,7.13685e-05,7.13685e-05
73,1545.03,0.46306,0.32476,0.87404,0.0048,0.94585,0.87756,0.95543,0.69821,0.6073,0.37928,0.93302,0.00451,6.4092e-05,6.4092e-05,6.4092e-05
74,1564.71,0.46449,0.32122,0.87474,0.00513,0.90685,0.91053,0.95626,0.69305,0.60458,0.38236,0.93493,0.00438,5.68155e-05,5.68155e-05,5.68155e-05
75,1585.12,0.46611,0.331,0.87565,0.00529,0.90688,0.9169,0.95543,0.69905,0.59493,0.37448,0.92873,0.00441,4.9539e-05,4.9539e-05,4.9539e-05
76,1604.81,0.45327,0.31417,0.87286,0.00482,0.9163,0.91349,0.95652,0.71242,0.59479,0.37908,0.92998,0.00435,4.22625e-05,4.22625e-05,4.22625e-05
77,1625.36,0.45706,0.32006,0.87744,0.00549,0.91181,0.91439,0.95461,0.70287,0.60169,0.37789,0.93105,0.00447,3.4986e-05,3.4986e-05,3.4986e-05
78,1644.94,0.46064,0.32291,0.86886,0.00507,0.93986,0.87878,0.9542,0.70422,0.59672,0.37635,0.92935,0.00438,2.77095e-05,2.77095e-05,2.77095e-05
79,1665.27,0.44529,0.31114,0.86877,0.00466,0.90139,0.91561,0.9528,0.70776,0.59568,0.3756,0.93027,0.00429,2.0433e-05,2.0433e-05,2.0433e-05
80,1684.92,0.45823,0.32025,0.87774,0.00549,0.90264,0.91823,0.95292,0.70253,0.60605,0.37899,0.93599,0.00431,1.31565e-05,1.31565e-05,1.31565e-05
